dataset_id,horizon_step,reference_step,feature,comparison_bars,mae,rmse,iqr_normalized_mae,correlation,final_abs_error
spy_1m,4,1,jerk,371,0.10409514824797844,0.1360739676171485,0.23037545257934813,0.9137997476464652,0.1311
spy_1m,4,1,snap,371,0.10964609164420484,0.14540244893513393,0.23924523596815372,0.9022632902996648,0.24929999999999997
spy_1m,4,1,structure,371,0.0056501347708894905,0.007464572209774158,0.08904861735050418,0.9943715885887412,0.005299999999999971
spy_1m,4,1,kinematics,371,0.020214824797843665,0.026148296239457268,0.28919634903925145,0.8831790104677143,0.007099999999999995
spy_1m,4,1,geometry,371,0.01757547169811321,0.022752358960664555,0.32337574421551435,0.8262597968790962,0.007000000000000006
spy_1m,4,1,information,371,0.01698436657681941,0.021399085553679455,0.14885509707992473,0.9765534731763172,0.0013000000000000234
spy_1m,4,1,propagation,371,0.044847169811320746,0.053889408817960935,0.44757654502316085,0.9055183907852473,0.01880000000000004
spy_1m,4,1,cascade_bias,371,0.09122533692722372,0.11910123646840064,0.3859756163622751,0.8441422864675161,0.026400000000000035
spy_1m,4,1,scaling_exponent,371,0.0433355795148248,0.06727965152580653,0.3206480171278195,0.9252024946367255,0.0038000000000000256
spy_1m,8,1,pressure,371,0.0033202156334231807,0.004606628296135918,0.02574808556357643,0.9991810112795154,0.0016999999999999932
spy_1m,8,1,velocity,371,0.06637142857142858,0.0928992408407467,0.09997202676823103,0.9746888434251515,0.1119
spy_1m,8,1,acceleration,371,0.1157814016172507,0.15259886186177612,0.27371489744030897,0.8991751097519658,0.0492
spy_1m,8,1,jerk,371,0.13546900269541778,0.1784627369049681,0.2998096773164054,0.8636730393810753,0.024400000000000033
spy_1m,8,1,snap,371,0.14694016172506738,0.19339560338075962,0.3206200343117333,0.8433109656989071,0.06689999999999996
spy_1m,8,1,structure,371,0.009192991913746631,0.012200589884550557,0.14488560935770892,0.9874943014799238,0.008799999999999975
spy_1m,8,1,kinematics,371,0.02724177897574124,0.03534443344773318,0.38972502111217816,0.7972069895223847,0.019500000000000017
spy_1m,8,1,geometry,371,0.024285175202156336,0.03114439374037526,0.4468293505456547,0.7352264320004429,0.017400000000000027
spy_1m,8,1,information,371,0.024662803234501346,0.029260874680398646,0.21615077330851315,0.9496768297393984,0.014499999999999957
spy_1m,8,1,propagation,371,0.06265283018867925,0.07605985159240557,0.625277746394004,0.8465915301977677,0.0797
spy_1m,8,1,cascade_bias,371,0.14318733153638816,0.18338890825554044,0.6058275080871088,0.7015674079723258,0.10130000000000003
spy_1m,8,1,scaling_exponent,371,0.052676280323450134,0.0877346478687735,0.38976160061746307,0.870376948708275,0.02190000000000003
spy_5m,1,1,pressure,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_5m,1,1,velocity,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,acceleration,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,jerk,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_5m,1,1,snap,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,structure,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,kinematics,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,geometry,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,information,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,propagation,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,cascade_bias,371,0.0,0.0,0.0,1.0,0.0
spy_5m,1,1,scaling_exponent,371,0.0,0.0,0.0,1.0,0.0
spy_5m,2,1,pressure,371,0.0009334231805929918,0.0011898605775762473,0.009789440803282557,0.9999675274850697,0.00020000000000000226
